시도명,총인구,남자,여자,가구수
서울,9736027,4721977,5014050,4426007
부산,3396109,1663619,1732490,1544663
대구,2412642,1189901,1222741,1063893
인천,3014739,1513277,1501462,1298647
광주,1462545,724178,738367,645712
대전,1469543,732593,736950,664417
울산,1138419,586031,552388,482650
세종,376779,188619,188160,153649
경기,13925862,7038296,6887566,5841995
강원,1555876,783743,772133,746220
충북,1633472,832743,800729,760672
충남,2181835,1120429,1061406,1001915
전북,1817186,905672,911514,849001
전남,1865459,943018,922441,903108
경북,2677709,1355128,1322581,1276846
경남,3377331,1709989,1667342,1505971
제주,697476,350822,346654,307529
